fund_name,total_contributed
"Warburg Pincus Private Equity XI, L.P.",763227511
"Fisher Lynch Co-Investment Partnership III, L.P.",711358332
"Warburg Pincus Private Equity XII, L.P.",691007139
"Fisher Lynch Co-Investment Partnership IV, L.P.",689152881
"Hellman & Friedman Capital Partners VIII, L.P.",610277012
"TPG Partners VII, L.P.",574039816
"KKR North America Fund XI, L.P.",572972095
"KKR Americas Fund XII, L.P.",571911755
"Hellman & Friedman Capital Partners IX, L.P.",524475345
"Fisher Lynch Co-Investment Partnership II, L.P.",515501196
